MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,LotConfig,LandSlope,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,Foundation,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitchen,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,PoolQC,Fence,MiscFeature,SalePrice
RL,65.0,8450,Pave,Reg,AllPub,Inside,Gtl,7,2003,2003,Gable,Gd,PConc,Gd,856.0,GasA,Ex,Y,SBrkr,856,854,1710,1.0,0.0,2,1,3,1,Gd,8,0,,Attchd,2.0,TA,0,61,0,0,,,,208500.0
RL,80.0,9600,Pave,Reg,AllPub,FR2,Gtl,6,1976,1976,Gable,TA,CBlock,Gd,1262.0,GasA,Ex,Y,SBrkr,1262,0,1262,0.0,1.0,2,0,3,1,TA,6,1,TA,Attchd,2.0,TA,298,0,0,0,,,,181500.0
RL,68.0,11250,Pave,IR1,AllPub,Inside,Gtl,7,2001,2002,Gable,Gd,PConc,Gd,920.0,GasA,Ex,Y,SBrkr,920,866,1786,1.0,0.0,2,1,3,1,Gd,6,1,TA,Attchd,2.0,TA,0,42,0,0,,,,223500.0
RL,60.0,9550,Pave,IR1,AllPub,Corner,Gtl,7,1915,1970,Gable,TA,BrkTil,TA,756.0,GasA,Gd,Y,SBrkr,961,756,1717,1.0,0.0,1,0,3,1,Gd,7,1,Gd,Detchd,3.0,TA,0,35,272,0,,,,140000.0
RL,84.0,14260,Pave,IR1,AllPub,FR2,Gtl,8,2000,2000,Gable,Gd,PConc,Gd,1145.0,GasA,Ex,Y,SBrkr,1145,1053,2198,1.0,0.0,2,1,4,1,Gd,9,1,TA,Attchd,3.0,TA,192,84,0,0,,,,250000.0
RL,85.0,14115,Pave,IR1,AllPub,Inside,Gtl,5,1993,1995,Gable,TA,Wood,Gd,796.0,GasA,Ex,Y,SBrkr,796,566,1362,1.0,0.0,1,1,1,1,TA,5,0,,Attchd,2.0,TA,40,30,0,0,,MnPrv,Shed,143000.0
RL,75.0,10084,Pave,Reg,AllPub,Inside,Gtl,8,2004,2005,Gable,Gd,PConc,Ex,1686.0,GasA,Ex,Y,SBrkr,1694,0,1694,1.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,2.0,TA,255,57,0,0,,,,307000.0
RL,,10382,Pave,IR1,AllPub,Corner,Gtl,7,1973,1973,Gable,TA,CBlock,Gd,1107.0,GasA,Ex,Y,SBrkr,1107,983,2090,1.0,0.0,2,1,3,1,TA,7,2,TA,Attchd,2.0,TA,235,204,228,0,,,Shed,200000.0
RM,51.0,6120,Pave,Reg,AllPub,Inside,Gtl,7,1931,1950,Gable,TA,BrkTil,TA,952.0,GasA,Gd,Y,FuseF,1022,752,1774,0.0,0.0,2,0,2,2,TA,8,2,TA,Detchd,2.0,Fa,90,0,205,0,,,,129900.0
RL,50.0,7420,Pave,Reg,AllPub,Corner,Gtl,5,1939,1950,Gable,TA,BrkTil,TA,991.0,GasA,Ex,Y,SBrkr,1077,0,1077,1.0,0.0,1,0,2,2,TA,5,2,TA,Attchd,1.0,Gd,0,4,0,0,,,,118000.0
RL,70.0,11200,Pave,Reg,AllPub,Inside,Gtl,5,1965,1965,Hip,TA,CBlock,TA,1040.0,GasA,Ex,Y,SBrkr,1040,0,1040,1.0,0.0,1,0,3,1,TA,5,0,,Detchd,1.0,TA,0,0,0,0,,,,129500.0
RL,85.0,11924,Pave,IR1,AllPub,Inside,Gtl,9,2005,2006,Hip,Ex,PConc,Ex,1175.0,GasA,Ex,Y,SBrkr,1182,1142,2324,1.0,0.0,3,0,4,1,Ex,11,2,Gd,BuiltIn,3.0,TA,147,21,0,0,,,,345000.0
RL,,12968,Pave,IR2,AllPub,Inside,Gtl,5,1962,1962,Hip,TA,CBlock,TA,912.0,GasA,TA,Y,SBrkr,912,0,912,1.0,0.0,1,0,2,1,TA,4,0,,Detchd,1.0,TA,140,0,0,0,,,,144000.0
RL,91.0,10652,Pave,IR1,AllPub,Inside,Gtl,7,2006,2007,Gable,Gd,PConc,Gd,1494.0,GasA,Ex,Y,SBrkr,1494,0,1494,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,3.0,TA,160,33,0,0,,,,279500.0
RL,,10920,Pave,IR1,AllPub,Corner,Gtl,6,1960,1960,Hip,TA,CBlock,TA,1253.0,GasA,TA,Y,SBrkr,1253,0,1253,1.0,0.0,1,1,2,1,TA,5,1,Fa,Attchd,1.0,TA,0,213,176,0,,GdWo,,157000.0
RM,51.0,6120,Pave,Reg,AllPub,Corner,Gtl,7,1929,2001,Gable,TA,BrkTil,TA,832.0,GasA,Ex,Y,FuseA,854,0,854,0.0,0.0,1,0,2,1,TA,5,0,,Detchd,2.0,TA,48,112,0,0,,GdPrv,,132000.0
RL,,11241,Pave,IR1,AllPub,CulDSac,Gtl,6,1970,1970,Gable,TA,CBlock,TA,1004.0,GasA,Ex,Y,SBrkr,1004,0,1004,1.0,0.0,1,0,2,1,TA,5,1,TA,Attchd,2.0,TA,0,0,0,0,,,Shed,149000.0
RL,72.0,10791,Pave,Reg,AllPub,Inside,Gtl,4,1967,1967,Gable,TA,Slab,,0.0,GasA,TA,Y,SBrkr,1296,0,1296,0.0,0.0,2,0,2,2,TA,6,0,,CarPort,2.0,TA,0,0,0,0,,,Shed,90000.0
RL,66.0,13695,Pave,Reg,AllPub,Inside,Gtl,5,2004,2004,Gable,TA,PConc,TA,1114.0,GasA,Ex,Y,SBrkr,1114,0,1114,1.0,0.0,1,1,3,1,Gd,6,0,,Detchd,2.0,TA,0,102,0,0,,,,159000.0
RL,70.0,7560,Pave,Reg,AllPub,Inside,Gtl,5,1958,1965,Hip,TA,CBlock,TA,1029.0,GasA,TA,Y,SBrkr,1339,0,1339,0.0,0.0,1,0,3,1,TA,6,0,,Attchd,1.0,TA,0,0,0,0,,MnPrv,,139000.0
RL,101.0,14215,Pave,IR1,AllPub,Corner,Gtl,8,2005,2006,Gable,Gd,PConc,Ex,1158.0,GasA,Ex,Y,SBrkr,1158,1218,2376,0.0,0.0,3,1,4,1,Gd,9,1,Gd,BuiltIn,3.0,TA,240,154,0,0,,,,325300.0
RM,57.0,7449,Pave,Reg,AllPub,Inside,Gtl,7,1930,1950,Gable,TA,PConc,TA,637.0,GasA,Ex,Y,FuseF,1108,0,1108,0.0,0.0,1,0,3,1,Gd,6,1,Gd,Attchd,1.0,TA,0,0,205,0,,GdPrv,,139400.0
RL,75.0,9742,Pave,Reg,AllPub,Inside,Gtl,8,2002,2002,Hip,Gd,PConc,Gd,1777.0,GasA,Ex,Y,SBrkr,1795,0,1795,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,2.0,TA,171,159,0,0,,,,230000.0
RM,44.0,4224,Pave,Reg,AllPub,Inside,Gtl,5,1976,1976,Gable,TA,PConc,Gd,1040.0,GasA,TA,Y,SBrkr,1060,0,1060,1.0,0.0,1,0,3,1,TA,6,1,TA,Attchd,2.0,TA,100,110,0,0,,,,129900.0
RL,,8246,Pave,IR1,AllPub,Inside,Gtl,5,1968,2001,Gable,TA,CBlock,TA,1060.0,GasA,Ex,Y,SBrkr,1060,0,1060,1.0,0.0,1,0,3,1,Gd,6,1,TA,Attchd,1.0,TA,406,90,0,0,,MnPrv,,154000.0
RL,110.0,14230,Pave,Reg,AllPub,Corner,Gtl,8,2007,2007,Gable,Gd,PConc,Gd,1566.0,GasA,Ex,Y,SBrkr,1600,0,1600,0.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,3.0,TA,0,56,0,0,,,,256300.0
RL,60.0,7200,Pave,Reg,AllPub,Corner,Gtl,5,1951,2000,Gable,TA,CBlock,TA,900.0,GasA,TA,Y,SBrkr,900,0,900,0.0,1.0,1,0,3,1,Gd,5,0,,Detchd,2.0,TA,222,32,0,0,,,,134800.0
RL,98.0,11478,Pave,Reg,AllPub,Inside,Gtl,8,2007,2008,Gable,Gd,PConc,Ex,1704.0,GasA,Ex,Y,SBrkr,1704,0,1704,1.0,0.0,2,0,3,1,Gd,7,1,Gd,Attchd,3.0,TA,0,50,0,0,,,,306000.0
RL,47.0,16321,Pave,IR1,AllPub,CulDSac,Gtl,5,1957,1997,Gable,TA,CBlock,TA,1484.0,GasA,TA,Y,SBrkr,1600,0,1600,1.0,0.0,1,0,2,1,TA,6,2,Gd,Attchd,1.0,TA,288,258,0,0,,,,207500.0
RM,60.0,6324,Pave,IR1,AllPub,Inside,Gtl,4,1927,1950,Gable,TA,BrkTil,TA,520.0,GasA,Fa,N,SBrkr,520,0,520,0.0,0.0,1,0,1,1,Fa,4,0,,Detchd,1.0,Fa,49,0,87,0,,,,68500.0
C (all),50.0,8500,Pave,Reg,AllPub,Inside,Gtl,4,1920,1950,Gambrel,TA,BrkTil,TA,649.0,GasA,TA,N,SBrkr,649,668,1317,0.0,0.0,1,0,3,1,TA,6,0,,Detchd,1.0,TA,0,54,172,0,,MnPrv,,40000.0
RL,,8544,Pave,IR1,AllPub,CulDSac,Gtl,5,1966,2006,Gable,TA,CBlock,TA,1228.0,GasA,Gd,Y,SBrkr,1228,0,1228,0.0,0.0,1,1,3,1,Gd,6,0,,Attchd,1.0,TA,0,65,0,0,,MnPrv,,149350.0
RL,85.0,11049,Pave,Reg,AllPub,Corner,Gtl,8,2007,2007,Gable,Gd,PConc,Ex,1234.0,GasA,Ex,Y,SBrkr,1234,0,1234,0.0,0.0,2,0,3,1,Gd,7,0,,Attchd,2.0,TA,0,30,0,0,,,,179900.0
RL,70.0,10552,Pave,IR1,AllPub,Inside,Gtl,5,1959,1959,Hip,TA,CBlock,TA,1398.0,GasA,Gd,Y,SBrkr,1700,0,1700,0.0,1.0,1,1,4,1,Gd,6,1,Gd,Attchd,2.0,TA,0,38,0,0,,,,165500.0
RL,60.0,7313,Pave,Reg,AllPub,Inside,Gtl,9,2005,2005,Hip,Ex,PConc,Ex,1561.0,GasA,Ex,Y,SBrkr,1561,0,1561,1.0,0.0,2,0,2,1,Ex,6,1,Gd,Attchd,2.0,TA,203,47,0,0,,,,277500.0
RL,108.0,13418,Pave,Reg,AllPub,Inside,Gtl,8,2004,2005,Gable,Gd,PConc,Ex,1117.0,GasA,Ex,Y,SBrkr,1132,1320,2452,0.0,0.0,3,1,4,1,Gd,9,1,Gd,BuiltIn,3.0,TA,113,32,0,0,,,,309000.0
RL,112.0,10859,Pave,Reg,AllPub,Corner,Gtl,5,1994,1995,Gable,TA,PConc,Gd,1097.0,GasA,Ex,Y,SBrkr,1097,0,1097,0.0,0.0,1,1,3,1,TA,6,0,,Attchd,2.0,TA,392,64,0,0,,,,145000.0
RL,74.0,8532,Pave,Reg,AllPub,Inside,Gtl,5,1954,1990,Hip,TA,CBlock,TA,1297.0,GasA,Gd,Y,SBrkr,1297,0,1297,0.0,1.0,1,0,3,1,TA,5,1,TA,Attchd,2.0,TA,0,0,0,0,,,,153000.0
RL,68.0,7922,Pave,Reg,AllPub,Inside,Gtl,5,1953,2007,Gable,TA,CBlock,TA,1057.0,GasA,TA,Y,SBrkr,1057,0,1057,1.0,0.0,1,0,3,1,Gd,5,0,,Detchd,1.0,TA,0,52,0,0,,,,109000.0
RL,65.0,6040,Pave,Reg,AllPub,Inside,Gtl,4,1955,1955,Gable,TA,PConc,,0.0,GasA,TA,N,FuseP,1152,0,1152,0.0,0.0,2,0,2,2,Fa,6,0,,,0.0,,0,0,0,0,,,,82000.0
